SPDC,"Speed Commerce, Inc."
SPEX,Spherix Incorporated
STEM,"StemCells, Inc."
STXS,"Stereotaxis, Inc."
SCON,Superconductor Technologies Inc.
SYMX,"Synthesis Energy Systems, Inc."
TAIT,Taitron Components Incorporated
TRGT,"Targacept, Inc."
TRTLW,Terrapin 3 Acquisition Corporation
THTI,"THT Heat Transfer Technology, Inc."
TIGR,TigerLogic Corporation
USEG,U.S. Energy Corp.
ULTR,Ultrapetrol (Bahamas) Limited
UPIP,"Unwired Planet, Inc."
URRE,"Uranium Resources, Inc."
VPCO,Vapor Corp.
APPY,"Venaxis, Inc."
VICL,Vical Incorporated
VRNG,"Vringo, Inc."
WRES,"Warren Resources, Inc."
WAVX,Wave Systems Corp.
WHLRW,"Wheeler Real Estate Investment Trust, Inc."
WLRHW,WL Ross Holding Corp.
XGTI,"XG Technology, Inc"
XGTIW,"XG Technology, Inc"
XOMA,XOMA Corporation
ZAZA,ZaZa Energy Corporation
ATV,"Acorn International, Inc."
BSI,Alon Blue Square Israel Ltd.
BXC,BlueLinx Holdings Inc.
TEU,Box Ships Inc.
HELI,CHC Group Ltd.
ZX,China Zenix Auto International Limited
XCO,EXCO Resources NL
FXCM,FXCM Inc.
GSI,"General Steel Holdings, Inc."
GDP,Goodrich Petroleum Corporation
HK,Halcon Resources Corporation
HNR,Harvest Natural Resources Inc
IO,Ion Geophysical Corporation
KEG,"Key Energy Services, Inc."
LF,Leapfrog Enterprises Inc
MHR,Magnum Hunter Resources Corporation
MNI,McClatchy Company (The)
MUX,McEwen Mining Inc.
MTL,Mechel OAO
NBG,National Bank of Greece SA
SID,National Steel Company
NSLP,New Source Energy Partners L.P.
NOR,Noranda Aluminum Holding Corporation
NADL,North Atlantic Drilling Ltd.
OIBR,Oi S.A.
PGN,Paragon Offshore plc
PVA,Penn Virginia Corporation
PWE,Penn West Petroleum Ltd
ZQK,"Quiksilver, Inc."
REN,Resolute Energy Corporation
SD,Sandridge Energy Inc.
SVM,Silvercorp Metals Inc
STRI,"STR Holdings, Inc"
SFY,Swift Energy Company
TC,Thompson Creek Metals Company Inc.
VRS,Verso Corporation
WG,"Willbros Group, Inc."
YGE,Yingli Green Energy Holding Company Limited
